Date,AAPL,CSCO,MSFT,PCLN
2016-02-03,93.094734,21.721502,49.907536,1049.160034
2016-02-04,93.842743,22.135242,49.754448,1069.099976
2016-02-05,91.336388,21.524031,47.993904,1015.549988
2016-02-08,92.298134,21.561644,47.276287,973.799988
2016-02-09,92.278694,21.298357,47.151901,991.289978
2016-02-10,91.579254,21.16671,47.563332,1032.77002
2016-02-11,91.025528,23.207214,47.544201,1055.23999
2016-02-12,91.307251,23.611557,48.319218,1058.01001
2016-02-16,93.881607,24.297991,49.234718,1110.680054
2016-02-17,95.319359,24.880991,50.516418,1235.560059
2016-02-18,93.512459,24.852779,50.294781,1251.949951
2016-02-19,93.298737,24.965622,49.938213,1283.73999
2016-02-22,94.114754,25.040844,50.738071,1288.420044
2016-02-23,91.987267,24.561281,49.321453,1261.890015
2016-02-24,93.357018,24.749342,49.494919,1264.209961
2016-02-25,93.998184,25.012638,50.208042,1263.410034
2016-02-26,94.143906,24.833977,49.437096,1254.27002
2016-02-29,93.930183,24.617701,49.032349,1265.209961
2016-03-01,97.660561,25.22891,50.670616,1295.920044
2016-03-02,97.874298,25.294735,51.027176,1301.369995
2016-03-03,98.602882,25.266525,50.448967,1303.040039
2016-03-04,100.069786,25.200701,50.140583,1297.709961
2016-03-07,98.962318,25.520411,49.176895,1291.430054
2016-03-08,98.146294,25.435781,49.774391,1282.77002
2016-03-09,98.233734,25.962362,50.921169,1291.890015
2016-03-10,98.282295,25.74609,50.159859,1293.77002
2016-03-11,99.341187,26.197443,51.142818,1326.869995
2016-03-14,99.593773,26.046997,51.239185,1325.72998
2016-03-15,101.594978,26.00938,51.643936,1332.130005
2016-03-16,102.945305,26.216249,52.376339,1350.98999
2016-03-17,102.780144,26.507755,52.675079,1346.859985
2016-03-18,102.896729,26.639397,51.547573,1344.219971
2016-03-21,102.887009,26.507755,51.904137,1350.51001
2016-03-22,103.673882,26.592382,52.106506,1319.410034
2016-03-23,103.100731,26.169235,52.010139,1306.109985
2016-03-24,102.653854,26.291475,52.241425,1301.189941
2016-03-28,102.187561,26.235058,51.595753,1287.030029
2016-03-29,104.606491,26.423126,52.723263,1307.890015
2016-03-30,106.432831,26.761639,53.050919,1317.030029
2016-03-31,105.879097,26.771042,53.224377,1288.959961
