Date,AAPL,AMZN,JPM,MSFT
2015-12-11,109.356125,640.150024,60.84655,51.725483
2015-12-14,108.679771,657.909973,61.036488,52.758842
2015-12-15,106.756989,658.640015,62.774414,52.816257
2015-12-16,107.57827,675.77002,64.132462,53.706093
2015-12-17,105.298019,670.650024,62.945358,53.294666
2015-12-18,102.44767,664.140015,61.159954,51.792465
2015-12-21,103.703766,664.51001,62.242592,52.462234
2015-12-22,103.607155,663.150024,62.375546,52.959778
2015-12-23,104.940506,663.700012,63.372726,53.409485
2015-12-24,104.380112,662.789978,63.249271,53.265953
2015-12-28,103.210999,675.200012,63.040333,53.533871
2015-12-29,105.066116,693.969971,63.695606,54.107956
2015-12-30,103.694107,689.070007,63.239769,53.878323
2015-12-31,101.703697,675.890015,62.707943,53.084164
2016-01-04,101.790649,636.98999,60.824501,52.433533
2016-01-05,99.239845,633.789978,60.929668,52.672737
2016-01-06,97.29776,632.650024,60.050102,51.715916
2016-01-07,93.191338,607.940002,57.621708,49.917099
2016-01-08,93.68412,607.049988,56.331024,50.070198
2016-01-11,95.201073,617.73999,56.244976,50.041489
2016-01-12,96.582756,617.890015,56.369267,50.500759
2016-01-13,94.099594,581.809998,54.820446,49.409988
2016-01-14,96.157608,593.0,55.642662,50.816513
2016-01-15,93.848373,570.179993,54.53363,48.788059
2016-01-19,93.394257,574.47998,54.504955,48.376629
2016-01-20,93.519867,571.77002,53.070862,48.596699
2016-01-21,93.046417,575.02002,52.822281,48.300083
2016-01-22,97.993423,596.380005,54.447586,50.031921
2016-01-25,96.080322,596.530029,53.214275,49.553509
2016-01-26,96.61174,601.25,54.571877,49.917099
2016-01-27,90.263725,583.349976,54.53363,49.008129
2016-01-28,90.911087,635.349976,54.763092,49.811855
2016-01-29,94.05127,587.0,56.88554,52.711006
2016-02-01,93.172028,574.809998,56.273663,52.347412
2016-02-02,91.28791,552.099976,54.524071,50.711258
2016-02-03,93.094734,531.070007,54.887371,49.907536
2016-02-04,93.842743,536.26001,55.833878,49.754448
2016-02-05,91.336388,502.130005,55.212437,47.993904
2016-02-08,92.298134,488.100006,54.055603,47.276287
2016-02-09,92.278694,482.070007,53.730545,47.151901
2016-02-10,91.579254,490.480011,53.080421,47.563332
2016-02-11,91.025528,503.820007,50.738071,47.544201
2016-02-12,91.307251,507.079987,54.963863,48.319218
2016-02-16,93.881607,521.099976,55.786068,49.234718
2016-02-17,95.319359,534.099976,56.187618,50.516418
2016-02-18,93.512459,525.0,55.269802,50.294781
2016-02-19,93.298737,534.900024,55.279354,49.938213
2016-02-22,94.114754,559.5,55.996403,50.738071
2016-02-23,91.987267,552.940002,53.654057,49.321453
2016-02-24,93.357018,554.039978,53.673176,49.494919
2016-02-25,93.998184,555.150024,54.504955,50.208042
