Date,KO,MSFT,PCLN,PEP
2016-08-03,43.639999,56.970001,1371.140015,108.040001
2016-08-04,43.509998,57.389999,1359.98999,108.419998
2016-08-05,43.48,57.959999,1414.219971,108.660004
2016-08-08,43.439999,58.060001,1405.0,108.139999
2016-08-09,43.470001,58.200001,1407.01001,108.279999
2016-08-10,43.610001,58.02,1406.280029,108.82
2016-08-11,43.75,58.299999,1406.920044,108.480003
2016-08-12,44.029999,57.939999,1407.97998,108.589996
2016-08-15,44.240002,58.119999,1399.160034,108.720001
2016-08-16,43.830002,57.439999,1408.660034,108.0
2016-08-17,44.060001,57.560001,1427.199951,108.470001
2016-08-18,44.099998,57.599998,1443.069946,108.279999
2016-08-19,43.919998,57.619999,1432.0,108.169998
2016-08-22,43.740002,57.669998,1423.98999,107.959999
2016-08-23,43.849998,57.889999,1422.469971,107.879997
2016-08-24,43.849998,57.950001,1410.180054,108.110001
2016-08-25,43.669998,58.169998,1415.550049,107.879997
2016-08-26,43.32,58.029999,1419.790039,107.449997
2016-08-29,43.540001,58.099998,1425.189941,107.989998
2016-08-30,43.240002,57.889999,1416.550049,107.209999
2016-08-31,43.43,57.459999,1416.72998,106.75
2016-09-01,43.349998,57.59,1418.589966,107.290001
2016-09-02,43.66,57.669998,1422.849976,107.870003
2016-09-06,43.790001,57.610001,1436.959961,107.919998
2016-09-07,43.639999,57.66,1444.01001,107.209999
2016-09-08,43.630001,57.43,1445.829956,106.879997
2016-09-09,42.27,56.209999,1413.900024,104.050003
2016-09-12,43.189999,57.049999,1436.209961,106.019997
2016-09-13,42.279999,56.529999,1415.949951,104.589996
2016-09-14,42.110001,56.259998,1429.380005,105.050003
2016-09-15,42.360001,57.189999,1457.219971,105.480003
2016-09-16,42.139999,57.25,1460.050049,105.279999
2016-09-19,42.099998,56.93,1448.060059,105.669998
2016-09-20,42.34,56.810001,1449.0,106.300003
2016-09-21,42.529999,57.759998,1464.0,107.129997
2016-09-22,42.959999,57.82,1465.869995,107.82
2016-09-23,42.740002,57.43,1456.76001,107.339996
2016-09-26,42.049999,56.900002,1447.150024,107.029999
2016-09-27,42.59,57.950001,1453.48999,107.489998
2016-09-28,42.150002,58.029999,1458.030029,107.379997
2016-09-29,42.029999,57.400002,1472.97998,107.760002
2016-09-30,42.32,57.599998,1471.48999,108.769997
2016-10-03,42.029999,57.419998,1486.719971,108.25
2016-10-04,41.84,57.240002,1489.02002,107.099998
2016-10-05,41.810001,57.639999,1497.579956,106.010002
2016-10-06,41.709999,57.740002,1490.439941,106.400002
2016-10-07,41.73,57.799999,1479.819946,105.989998
2016-10-10,41.73,58.040001,1475.180054,106.220001
2016-10-11,41.540001,57.189999,1459.02002,105.57
2016-10-12,41.779999,57.110001,1454.839966,106.080002
2016-10-13,41.759998,56.919998,1442.52002,105.919998
2016-10-14,41.669998,57.419998,1439.569946,106.830002
2016-10-17,41.599998,57.220001,1437.650024,106.849998
2016-10-18,41.970001,57.66,1454.969971,106.949997
2016-10-19,42.049999,57.529999,1469.199951,106.260002
2016-10-20,41.93,57.25,1468.290039,105.870003
2016-10-21,42.130001,59.66,1467.390015,105.620003
2016-10-24,42.560001,61.0,1471.800049,107.309998
2016-10-25,42.540001,60.990002,1479.030029,107.230003
2016-10-26,42.439999,60.630001,1469.160034,107.07
2016-10-27,42.119999,60.099998,1463.02002,106.629997
2016-10-28,42.23,59.869999,1474.819946,107.07
2016-10-31,42.400002,59.919998,1474.22998,107.199997
2016-11-01,42.119999,59.799999,1467.0,106.709999
2016-11-02,42.049999,59.43,1445.329956,106.709999
2016-11-03,42.029999,59.209999,1438.099976,106.629997
2016-11-04,41.689999,58.709999,1424.280029,105.809998
2016-11-07,42.459999,60.419998,1480.329956,106.959999
2016-11-08,42.880001,60.470001,1578.130005,108.720001
2016-11-09,42.27,60.169998,1570.26001,107.25
2016-11-10,40.939999,58.700001,1554.319946,103.25
2016-11-11,41.029999,59.02,1540.650024,103.190002
2016-11-14,41.169998,58.119999,1489.180054,101.389999
2016-11-15,41.439999,58.869999,1497.449951,101.849998
2016-11-16,41.259998,59.650002,1503.22998,101.709999
2016-11-17,41.119999,60.639999,1512.900024,101.620003
2016-11-18,40.91,60.349998,1507.349976,101.309998
2016-11-21,41.360001,60.860001,1524.180054,102.260002
2016-11-22,41.369999,61.119999,1535.420044,102.889999
2016-11-23,41.119999,60.400002,1520.98999,101.529999
2016-11-25,41.529999,60.529999,1521.680054,102.169998
2016-11-28,41.75,60.610001,1525.069946,102.790001
2016-11-29,41.150002,61.09,1520.27002,102.540001
2016-11-30,40.349998,60.259998,1503.680054,100.099998
2016-12-01,40.169998,59.200001,1479.660034,99.029999
2016-12-02,40.360001,59.25,1473.0,100.599998
2016-12-05,40.619999,60.220001,1499.76001,100.709999
2016-12-06,40.57,59.950001,1504.819946,101.550003
2016-12-07,41.290001,61.369999,1527.040039,102.809998
2016-12-08,40.98,61.009998,1548.670044,102.150002
