Date,AAPL,AMZN,GOOG,MSFT
2007-06-27,17.412857,68.139999,261.44455,29.870001
2007-06-28,17.222857,68.889999,260.808685,29.83
2007-06-29,17.434286,68.410004,259.661163,29.469999
2007-07-02,17.322857,69.610001,263.476349,29.74
2007-07-03,18.167143,69.449997,265.443542,30.02
2007-07-05,18.964285,68.730003,269.065002,29.99
2007-07-06,18.9,68.970001,267.957184,29.969999
2007-07-09,18.618572,72.07,269.526978,29.870001
2007-07-10,18.907143,70.279999,269.914459,29.33
2007-07-11,18.912857,70.730003,270.47583,29.49
2007-07-12,19.152857,72.790001,270.903046,30.07
2007-07-13,19.675714,75.099998,274.295959,29.82
2007-07-16,19.728571,73.690002,274.708282,30.030001
2007-07-17,19.844286,73.790001,275.706787,30.780001
2007-07-18,19.731428,73.32,272.974548,30.92
2007-07-19,20.0,73.349998,272.522491,31.51
2007-07-20,20.535715,71.629997,258.379486,31.16
2007-07-23,20.528572,71.739998,254.599075,31.190001
2007-07-24,19.27,69.25,255.339264,30.799999
2007-07-25,19.608572,86.18,253.232971,30.709999
2007-07-26,20.857143,84.010002,252.358643,29.98
2007-07-27,20.549999,84.040001,254.291077,29.389999
2007-07-30,20.204287,82.699997,256.387451,29.4
2007-07-31,18.822857,78.540001,253.352188,28.99
2007-08-01,19.285715,77.309998,254.812683,29.299999
2007-08-02,19.498571,79.709999,253.853928,29.52
2007-08-03,18.835714,76.800003,249.874802,28.959999
2007-08-06,19.321428,79.0,253.352188,29.540001
2007-08-07,19.290001,79.139999,256.342743,29.549999
2007-08-08,19.144285,77.779999,261.191193,30.0
2007-08-09,18.055714,74.110001,255.701904,29.299999
2007-08-10,17.857143,74.779999,256.208618,28.709999
2007-08-13,18.255714,74.870003,256.084412,28.629999
2007-08-14,17.718571,73.449997,252.656708,28.27
2007-08-15,17.128571,72.379997,247.167419,28.1
2007-08-16,16.721428,72.790001,244.17189,27.809999
2007-08-17,17.437143,75.019997,248.404373,28.25
2007-08-20,17.459999,74.699997,247.351212,28.26
2007-08-21,18.224285,77.489998,251.668137,28.07
2007-08-22,18.93,78.5,254.718307,28.219999
2007-08-23,18.724285,77.300003,254.440109,28.299999
2007-08-24,19.328571,79.25,255.836029,28.809999
2007-08-27,18.892857,78.650002,254.971649,28.49
2007-08-28,18.117144,76.220001,251.563812,27.93
2007-08-29,19.154285,79.050003,254.782883,28.59
2007-08-30,19.464285,78.68,254.047668,28.450001
2007-08-31,19.782858,79.910004,255.96022,28.73
2007-09-04,20.594286,82.699997,260.878235,28.809999
2007-09-05,19.537144,83.75,262.194672,28.48
2007-09-06,19.287144,86.209999,260.068512,28.91
2007-09-07,18.824286,84.519997,257.996979,28.440001
2007-09-10,19.530001,83.339996,255.577713,28.48
2007-09-11,19.355715,86.279999,258.980591,28.93
2007-09-12,19.549999,87.300003,259.636322,28.93
2007-09-13,19.6,87.260002,260.694427,29.16
2007-09-14,19.83,87.769997,262.666595,29.040001
2007-09-17,19.772858,86.910004,260.952759,28.73
2007-09-18,20.131428,88.75,265.905548,28.93
