Date,AAPL,AMZN,GOOG,MSFT
2007-03-14,11.567005,38.080002,222.552505,21.252893
2007-03-15,11.511741,37.779999,221.653366,21.159813
2007-03-16,11.514311,37.849998,219.00061,21.198597
2007-03-19,11.712235,38.450001,222.169998,21.586416
2007-03-20,11.757219,38.580002,221.201294,21.594175
2007-03-21,12.064386,39.799999,226.799881,22.12162
2007-03-22,12.075953,39.490002,229.527145,21.92771
2007-03-23,12.019403,38.98,229.422821,21.733795
2007-03-26,12.318861,39.009998,230.997589,21.888929
2007-03-27,12.268739,39.369999,230.312042,21.501106
2007-03-28,11.983417,39.34,229.447662,21.439047
2007-03-29,12.048965,39.810001,228.970764,21.524368
2007-03-30,11.941003,39.790001,227.599686,21.617455
2007-04-02,12.036113,40.419998,227.783493,21.516619
2007-04-03,12.145355,41.189999,234.773026,21.617455
2007-04-04,12.115797,41.529999,233.988129,22.106104
2007-04-05,12.168489,41.68,234.231552,22.144892
2007-04-09,12.036113,41.66,232.592209,22.160404
2007-04-10,12.113228,41.860001,231.742737,22.02854
2007-04-11,11.899877,41.68,230.764099,21.803604
2007-04-12,11.848469,42.27,232.18486,22.137136
2007-04-13,11.59785,42.41,231.638412,22.191435
2007-04-16,11.750794,45.200001,235.602631,22.284512
2007-04-17,11.611989,45.07,234.872375,22.37759
2007-04-18,11.618414,44.990002,236.46701,22.183674
2007-04-19,11.601707,44.639999,234.301102,22.253483
2007-04-20,11.691673,44.950001,239.681107,22.509445
2007-04-23,12.01812,44.77,237.992096,22.323292
2007-04-24,11.983417,44.75,237.222092,22.331053
2007-04-25,12.254604,56.810001,237.450607,22.486179
2007-04-26,12.703144,62.779999,239.035309,22.571501
2007-04-27,12.841946,62.599998,237.957321,23.362661
2007-04-30,12.826526,61.330002,234.166977,23.223049
2007-05-01,12.784112,62.040001,232.984665,23.579859
2007-05-02,12.902354,61.18,231.385056,23.742735
2007-05-03,12.903636,62.189999,235.085999,24.021971
2007-05-04,12.956331,63.23,234.037811,23.703955
2007-05-07,13.356038,60.82,232.125244,23.820301
2007-05-08,13.50255,61.830002,231.896729,23.851324
2007-05-09,13.736461,62.849998,233.108856,23.874596
2007-05-10,13.795582,60.919998,229.243988,23.719463
2007-05-11,13.975514,61.560001,231.861969,23.959911
2007-05-14,14.055198,61.700001,229.39798,24.021971
2007-05-15,13.818715,60.580002,227.520203,24.045309
2007-05-16,13.795582,63.220001,234.778,24.177599
2007-05-17,14.06548,62.169998,233.958328,24.107569
2007-05-18,14.140022,63.299999,233.640396,23.990843
2007-05-21,14.391928,68.300003,233.779495,24.162041
2007-05-22,14.592419,68.879997,236.392502,23.881899
2007-05-23,14.508883,69.0,235.453598,23.796301
2007-05-24,14.22613,69.349998,235.632431,23.477259
2007-05-25,14.602702,68.550003,240.197739,23.718491
2007-05-29,14.696525,69.629997,241.98114,23.959719
2007-05-30,15.264592,69.860001,247.689026,24.208729
2007-05-31,15.575615,69.139999,247.346252,23.881899
2007-06-01,15.217038,68.580002,248.583206,23.804087
2007-06-04,15.59361,70.419998,251.896652,23.905247
2007-06-05,15.765834,73.650002,257.743622,23.796301
2007-06-06,15.890496,72.290001,257.450531,23.570633
2007-06-07,15.945763,72.040001,255.865845,23.049261
2007-06-08,15.999743,73.239998,256.079437,23.383875
2007-06-11,15.447093,71.169998,254.017853,23.360531
2007-06-12,15.471511,70.07,250.754089,23.228241
2007-06-13,15.101369,70.889999,250.987564,23.648449
2007-06-14,15.262021,71.940002,249.795319,23.749611
2007-06-15,15.486937,72.400002,251.310471,23.726269
2007-06-18,16.076851,71.830002,255.935394,23.741833
2007-06-19,15.893066,69.809998,255.493256,23.702923
2007-06-20,15.621882,69.099998,253.33728,23.352753
2007-06-21,15.923913,69.669998,255.393906,23.516163
2007-06-22,15.808242,68.860001,260.793793,22.948101
2007-06-25,15.723417,68.660004,262.00589,22.948101
